country,count
United States,76
Australia,46
United States,,44
Canada,33
China,23
United States.,15
New Zealand,15
Netherlands,14
Mexico,12
Switzerland,11
Spain,11
United Kingdom,10
Israel,9
Italy,7
Ireland,7
Jordan,7
France,7
Norway,7
Hong Kong,6
Greece,5
India,5
Turkey,5
Finland,5
Germany,5
Denmark,5
Jersey,4
Belgium,4
Georgia,4
Malaysia,3
Portugal,3
Brazil,3
Japan,3
New Zealand.,3
United Kingdom,,3
Sweden,3
Poland,3
Puerto Rico.,2
United States;,2
Austria,2
Hong Kong,,2
Congo,2
Russian Federation,,2
South Africa,2
Trinidad and Tobago,2
New Zealand,,2
Peru,2
Ethiopia,2
Afghanistan,2
Qatar,2
El Salvador,,1
Luxembourg,1
Guatemala,1
Puerto Rico,,1
Nepal,1
Ukraine,1
Singapore,1
Egypt,1
Bulgaria,1
Bhutan,1
Uruguay,1
Sri Lanka,1
Cuba,1
United Kingdom.,1
Greenland,1
